person_name,person_id,num_videos,facial_symmetry_mean_mean,facial_symmetry_mean_std,facial_symmetry_std_mean,facial_symmetry_std_std,facial_symmetry_median_mean,facial_symmetry_median_std,face_width_height_ratio_mean_mean,face_width_height_ratio_mean_std,face_width_height_ratio_std_mean,face_width_height_ratio_std_std,eye_spacing_ratio_mean_mean,eye_spacing_ratio_mean_std,eye_spacing_ratio_std_mean,eye_spacing_ratio_std_std,jaw_ratio_mean_mean,jaw_ratio_mean_std,jaw_ratio_std_mean,jaw_ratio_std_std,smile_intensity_mean_mean,smile_intensity_mean_std,smile_intensity_std_mean,smile_intensity_std_std,smile_intensity_max_mean,smile_intensity_max_std,eye_contact_mean_mean,eye_contact_mean_std,eye_contact_std_mean,eye_contact_std_std,eye_openness_mean_mean,eye_openness_mean_std,eye_openness_std_mean,eye_openness_std_std,gaze_stability_mean_mean,gaze_stability_mean_std,gaze_stability_std_mean,gaze_stability_std_std,head_tilt_mean_mean,head_tilt_mean_std,head_tilt_std_mean,head_tilt_std_std,expression_speed_mean_mean,expression_speed_mean_std,expression_speed_std_mean,expression_speed_std_std,happy_mean_mean,happy_mean_std,neutral_mean_mean,neutral_mean_std,surprise_mean_mean,surprise_mean_std,processed_frames_mean,processed_frames_std
Đỗ Băng Nhạn,_bng_nhn,6,0.8973723530769347,0.06590353219599894,0.05850203335285187,0.022454273662187378,0.8968448519706725,0.08118074275937703,1.0977828979492188,0.3756150760333252,0.08666784539818763,0.04365622945296523,0.647339940071106,0.002754742384334914,0.02084864303469658,0.004707492377064371,0.7614553928375244,0.0021264271071644914,0.019457256980240343,0.003293936371097363,0.21670119166374205,0.10814777950432773,0.24030272662639618,0.09287593266841303,0.8727709650993347,0.1103046655648835,0.9646366000175476,0.015069186190117725,0.023856678791344166,0.011198012659010392,0.8047041773796081,0.12555847417356247,0.18507387936115263,0.03920527272489597,0.987718665599823,0.005351445686081632,0.017020486667752268,0.008034495126042235,0.07954871989786626,0.030398273508123963,0.0725670401006937,0.031580248092153616,0.1507653072476387,0.03580446968604755,0.202629092335701,0.05017299231968883,0.16116081401705742,0.0887272818131602,0.27660727202892305,0.07168943340482531,0.1215823382139206,0.04105698007823986,117.8,32.380035001010526
Alesandrova Marina,alesandrova_marina,8,0.8857933112553188,0.03908209273330004,0.09166327917150088,0.04426391202332044,0.911373998437609,0.03249350871013494,0.9770262837409973,0.31982207760923675,0.06715891563466617,0.03766703256333815,0.6676417929785592,0.00980873550901741,0.02426780015230179,0.004495323439987674,0.7765131763049534,0.009548448680337038,0.019761393112795695,0.001830909913247958,0.1600890824837344,0.08777503663717584,0.17752620258501597,0.0653585052586448,0.6559983960219792,0.2370676049057878,0.9623865229742867,0.014635471915817325,0.039549214233245165,0.020025367553869584,0.8737487963267735,0.11549542854246363,0.18606134397642954,0.047566973036746535,0.9849257213728768,0.005514844776981683,0.0247874063040529,0.010940186255718893,0.08094696913446699,0.007831783335087536,0.07562612955059324,0.015327086237695325,0.13629324521337235,0.03141605185376534,0.1801195272377559,0.039991040671956954,0.15906638585563218,0.09376649225545869,0.3518022820353508,0.14092963145580228,0.03642101672344974,0.03015889761279289,91.42857142857143,14.255324819669516
Angel Baby,angel_baby,7,0.8347881138324738,0.043872380059949326,0.09538213474055132,0.030718558834281928,0.8352972070376079,0.05700329416810986,1.139068603515625,0.16759174047697362,0.09566468000411987,0.03371160966108762,0.6515989601612091,0.014052141857848954,0.03628797891239326,0.02017210340668423,0.7703387637933095,0.010175254716127955,0.021732062256584563,0.005278450527551596,0.12584867576758066,0.08539256081589326,0.13388573999206224,0.05575849999124496,0.5258559435606003,0.22229840049164917,0.9397256871064503,0.019331333250188626,0.045708519096175834,0.01855187406447059,0.7765045861403148,0.12895838024045098,0.21279640247424442,0.06370977978871481,0.9798039297262828,0.010510720930308423,0.026637462278207145,0.012268254514593218,0.15981783779958886,0.05763098277240262,0.1347028228143851,0.05777352104655069,0.1265653297305107,0.047657894613785994,0.14792655160029727,0.03844341692996092,0.22536355629563332,0.09064793513305967,0.3092644040783247,0.05885770577189997,0.03135541616939008,0.02901151604816002,147.16666666666669,67.05097563297146
Anna Chipovskaya,anna_chipovskaya,8,0.8642176134245736,0.020802047601339257,0.07496469361441475,0.01760340758732408,0.8753449746540615,0.022105235103872644,1.1790386182921273,0.2586260862389879,0.13813046046665736,0.05264000682738901,0.6496990152767727,0.01230580233240867,0.039454344127859385,0.011905811973914058,0.7907954113824027,0.0079612561444292,0.020936939200120314,0.003862945827627264,0.19408981714929854,0.07819950537388085,0.1894541648881776,0.06898135207465543,0.7492070879255023,0.1935219957221625,0.9622363533292498,0.00850915928329387,0.029380816434110914,0.006737420978432652,0.5816822648048401,0.093871362811398,0.23158991762569972,0.011453516818447463,0.9858079893248421,0.004229302649883373,0.018590792481388365,0.005306395547988325,0.06690431492669242,0.016395871090728126,0.07885632504309927,0.05172672321411673,0.1613461598753929,0.05195323093776118,0.16719155652182444,0.04834431842440904,0.12591739371418953,0.05823988082750828,0.23832320315497263,0.09119822828291263,0.04542028611259801,0.02714578328695461,107.14285714285714,19.8206241793023
Anne Hathaway,anne_hathaway,8,0.8536928381238665,0.041744333671850584,0.07497455073254448,0.027214000792642877,0.8570096918514797,0.050117825504014064,1.2113929646355766,0.2587292195360039,0.12315118366054126,0.04185235637381283,0.6567214386803764,0.010019859316465598,0.032455766307456155,0.005548003268451265,0.7901371462004525,0.010311696212510024,0.021759352779814174,0.0019079935502830773,0.18964906675474985,0.07386512320998094,0.20109002717903682,0.06864134487844027,0.7274792449814933,0.20178361246202,0.9570973345211574,0.01414117456892107,0.03620400519243309,0.01125268700994146,0.7322190701961517,0.1729181280418725,0.1899267105119569,0.05599746343459182,0.9807689445359367,0.006422208960438118,0.027491065407437936,0.009953330417013403,0.10009507888129779,0.034664183160727884,0.09161276317068509,0.04375119654443599,0.1591415618147169,0.014096537758460537,0.1784405963761466,0.03138664051620349,0.19823975062796048,0.12069386643866774,0.3539995551109314,0.14423509653261257,0.022293763401518975,0.025035921066295735,80.85714285714286,29.39995140909493
Anya Taylor Joy,anya_taylor_joy,7,0.8708213468392689,0.044009968754104484,0.06898089125752449,0.019659917563163713,0.862627238035202,0.051383816929800256,1.0887779891490936,0.1522917327669295,0.08595593211551508,0.021168230080828753,0.6859067281087239,0.007919427247667813,0.03410046951224407,0.009761041351094532,0.7711817920207977,0.009006750186347823,0.020005906311174236,0.005855411686886135,0.19151902322967845,0.05468058460311408,0.18952225024501484,0.044559748956451435,0.7092475493748982,0.15475663425358274,0.9622168938318889,0.011736829861954033,0.030548235711952053,0.009259712695869624,0.7206937273343403,0.1331677301719979,0.20567714795470238,0.06743677238006456,0.9853337109088898,0.003985857859249693,0.01963313746576508,0.004708983236463757,0.07775427028536797,0.013416565592815935,0.07846818615992865,0.028362772608854087,0.19504358122746152,0.06183888904257913,0.193528451025486,0.04460999938860916,0.15037752874195576,0.06054433291217278,0.24931086599826813,0.06584737423984253,0.049975525005720556,0.03484047700084299,150.0,118.90932920266842
Aoi Yu,aoi_yu,9,0.8970977142453194,0.020981533874629837,0.06798700988292694,0.013557666380042688,0.9059727266430855,0.030833396510621124,0.8720992207527161,0.29870249996871345,0.0760656176134944,0.04195857566458994,0.6503507941961288,0.004824074760852789,0.029213633155450225,0.006286220334935104,0.7681252211332321,0.006629293447321117,0.020500033861026168,0.003167431058271018,0.20020626671612263,0.050047787734230506,0.21657560393214226,0.0533834732205342,0.9208199307322502,0.12090049952028058,0.9680251851677895,0.007057765892081431,0.025958839803934097,0.00476629645684431,0.7621000669896603,0.16943407671454175,0.2224501520395279,0.041801973332581795,0.988998293876648,0.002382898042688864,0.015627304557710886,0.003968377191148622,0.09007152705453336,0.032778624804789054,0.07549386564642191,0.033077958088532707,0.1444517495110631,0.025496961217471924,0.18781414441764355,0.029636684472452015,0.1839045607484877,0.11678548917581302,0.26828204095363617,0.07136238307493732,0.03968093539151596,0.033404499337840204,127.25,51.45386282875174
Aoshima Kokoro,aoshima_kokoro,6,0.921501612663269,0.015620643321269894,0.058771860599517826,0.007807988575775253,0.9181591749191284,0.028583396724396755,0.9780448198318482,0.37888063003155,0.07682667672634125,0.03538479987556648,0.667400074005127,0.005021762522830357,0.03585943393409252,0.004580539877912583,0.7908148884773255,0.006526221967399234,0.022423862293362618,0.002489884306316191,0.3156374365091324,0.13027186833173648,0.29730171263217925,0.06105149139085048,0.9631559967994691,0.045001593883779625,0.9720473289489746,0.006445298346769661,0.026632727682590483,0.005590446713565807,0.7179530620574951,0.11787488709244694,0.2230100929737091,0.022359314707665386,0.9862032651901246,0.002756066383401271,0.02195403594523668,0.0052178899970246415,0.059968700259923936,0.01742564320075295,0.07104593962430954,0.03096576731580518,0.1868537813425064,0.046585799609979266,0.21473002433776855,0.04219715113298387,0.23406758680939674,0.09539123411321898,0.2468912184238434,0.05557302316990432,0.02715719835832715,0.015446095199653766,89.2,6.011100842053254
Aragaki Yuko,aragaki_yuko,6,0.8916974663734436,0.019945006771235684,0.06970860138535499,0.014894072475985964,0.9013098955154418,0.022809223851997802,0.6930304050445556,0.09379606488035788,0.05196445435285568,0.006993098287331894,0.6429280877113343,0.006470739044122751,0.02389695420861244,0.0020462161630898494,0.8003647089004516,0.0036273666989778087,0.019991601258516314,0.0035646709331641647,0.3800611972808838,0.09125282736151204,0.2960648149251938,0.04415290645690869,0.9196799516677857,0.08148978035849569,0.9636780142784119,0.006429688124638591,0.028806110471487043,0.003349316031924428,0.8815576076507569,0.02764927346093095,0.2045653611421585,0.03198655461795686,0.9838732123374939,0.004273892461116287,0.02110106274485588,0.004388171458022156,0.13508595377206803,0.042075823714332605,0.1364893674850464,0.044935366341612805,0.18445379436016082,0.03727974485133861,0.21627016663551332,0.0241876220315085,0.3563732117414475,0.10481267975863402,0.2391718178987503,0.045512142620184826,0.018277947790920734,0.009463964423736601,110.2,34.25103404765078
Arimura Kasumi,arimura_kasumi,9,0.8997001871466637,0.04071287152126857,0.06869695382192731,0.015920530269670836,0.9147065430879593,0.054959304655030974,0.6359408795833588,0.0725646265034143,0.05692902998998761,0.026445229737688442,0.6434624493122101,0.010080757205598211,0.028228062205016613,0.008671694063558609,0.7969189807772636,0.01203920500599379,0.02077494701370597,0.0084386636963815,0.2103203497827053,0.16103050857254897,0.23575841635465622,0.07552236979137777,0.8544717505574226,0.18418130694902138,0.9644212797284126,0.0161792754978699,0.031923599541187286,0.008882060218242845,0.8950167521834373,0.08078058631455194,0.18416239134967327,0.07320938505615088,0.9867315888404846,0.004904846612598653,0.01900365704204887,0.005300639621821909,0.09090142231434584,0.04803238167230954,0.10090210754424334,0.07087603089328712,0.15071279741823673,0.06906650937939134,0.20614131726324558,0.04756238923268123,0.12673468665525434,0.09837408948875535,0.4630121998488903,0.1668274827353096,0.01913906226036488,0.02259659261506988,90.75,38.61131095072185
