sample_id,file_path,person_id,person_name,split,source_ref,source_url,license,rights_note,sha256
000001,raw/alesandrova_marina/0001.mp4,alesandrova_marina,Alesandrova Marina,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,df26434c27f5c326d73c2f555bac8140011a6f578327b9c1332b01a6a2b085f7
000002,raw/alesandrova_marina/0002.mp4,alesandrova_marina,Alesandrova Marina,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,36299d52eef9d977d3e4de72fa9f06f8b45a38907d1387a7ad056e1bb9bb081a
000003,raw/alesandrova_marina/0003.mp4,alesandrova_marina,Alesandrova Marina,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,2bfe2846b64274a579e94ee1a6b92f4e5694b35e10b105c2c56a44ce1eed3c82
000004,raw/alesandrova_marina/0004.mp4,alesandrova_marina,Alesandrova Marina,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,4038e0003154f9f621c28b1568649a7d04b75479bf2c3dca1ead737133fc82f5
000005,raw/alesandrova_marina/0005.mp4,alesandrova_marina,Alesandrova Marina,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,f7ad789e17ef563b7c33525e98009d97008861fa83360562c985e4c6c7fb038e
000006,raw/alesandrova_marina/0006.mp4,alesandrova_marina,Alesandrova Marina,val,manual_collect,,UNKNOWN,No clear redistribution proof yet,5583b79abfb3d7b9392ea248c23c0dbbb05b63ca1e0b33afd0a1b8472e64073e
000007,raw/alesandrova_marina/0007.mp4,alesandrova_marina,Alesandrova Marina,test,manual_collect,,UNKNOWN,No clear redistribution proof yet,d5eb8437cfd4b5ff0519833e017575f587c53eb30335b6221d2266ec765f5793
000008,raw/angel_baby/0001.mp4,angel_baby,Angel Baby,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,6038303c17aa3fff769768b59b2ac394d859951faf175e493aeef343d480a594
000009,raw/angel_baby/0002.mp4,angel_baby,Angel Baby,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,6288a4b888cf6137191e0ea3b3bdffa0b0b3f0590713f57f75a24e9dac95d96a
000010,raw/angel_baby/0003.mp4,angel_baby,Angel Baby,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,98b1569208e8bdae179e1143f4573f1dfbff803810be85e780c635a78a853fcd
000011,raw/angel_baby/0004.mp4,angel_baby,Angel Baby,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,c9ff23494cd9d9b7d98ab0ea5022ba76cbf99c89aebe83fa759fb0a84bbaa25a
000012,raw/angel_baby/0005.mp4,angel_baby,Angel Baby,val,manual_collect,,UNKNOWN,No clear redistribution proof yet,24b9dbbe870c95b2d604b3fdb7f769d80f2d0584a2c8b6b21b097b89f4e1755e
000013,raw/angel_baby/0006.mp4,angel_baby,Angel Baby,test,manual_collect,,UNKNOWN,No clear redistribution proof yet,a9626e48e3a48c3311905c741df8d42f18ff41a710565d32587ebc1ad995a54d
000014,raw/anna_chipovskaya/0001.mp4,anna_chipovskaya,Anna Chipovskaya,train,manual_collect,,UNKNOWN,No clear redistribution proof yet,ab6b24f9f2e819019b33780efa7b5fd5ad3c5bfd3c72ed88615de80cb400d7b1
