person,similarity_to_core
Từ Hy Viên,0.64571893
Thu Hà,0.55961615
Kim Ji Won,0.5121995
Bae Suzy,0.5033559
Mai Davika,0.4799053
Lý Gia Hân,0.47408453
Bạch Băng,0.42825985
Angel Baby,0.42266074
Châu Huệ Mẫn,0.41328603
Hashimoto Kana,0.39564386
Triệu Lệ Dĩnh,0.36913133
Alesandrova Marina,0.3677196
Hong Hwa-yeon,0.3592693
Vương Tổ Hiền,0.3592132
Toda Erika,0.35663897
Keira Knightkey,0.35125878
Trần Hồng,0.35087156
Đại Lộ Oa,0.3443205
Ozawa Mayu,0.33963904
Kim Tae Hee,0.33422062
Song Hye-kyo,0.32592064
Imada Mio,0.31924325
Tần Lam,0.30799145
Phạm Băng Băng,0.29113433
Lưu Tâm Du,0.28001487
Kim Yoo-jung,0.2748075
Trần Đức Dung,0.26853687
Park Jihyun,0.26393166
Katsumura Mika,0.25591817
Han Hyo-joo,0.2532412
Sasaki Nozomi,0.25049618
Tưởng Cần Cần,0.25029093
Can Đình ĐÌnh,0.24314892
Dương Mịch,0.24254861
Son Ye-jin,0.22776444
Quan Chi Lâm,0.22490904
Komatsu Nana,0.21350369
Cổ Lực Na Trát,0.21004283
Shiraishi Sei,0.20567776
Đồng Lệ Á,0.20561786
Kim Hee Sun,0.20495386
Chương Nhược Nam,0.19888096
Lynne Frederick,0.192752
Roh Jeong Un,0.19273478
Vương Tử Thuần,0.1873386
Chu Lâm,0.18270627
Oh Se Young,0.17976663
Miyazawa Rie,0.17835923
Lily Collins,0.17757577
Goo Yoon Young,0.17712824
Nakama Yukie,0.16969563
Lưu Hạo Tồn,0.167903
Vạn Thiến,0.16738822
Trịnh Sảng,0.16600314
Trương Mẫn,0.16253144
Rena Nounen,0.15973073
Ishihara Satomi,0.157177
Hamabe Minami,0.1541452
Shin Se-kyung,0.15286703
Yoshitaka Yuriko,0.13689066
Trương Vũ Kỳ,0.1359191
Fukada Kyoko,0.13281639
Vương Ảnh Lộ,0.13162129
Hirose Suzu,0.12872832
Đỗ Băng Nhạn,0.12844846
Mạnh Tử Nghĩa,0.12572403
Thẩm My Trang,0.12145684
Điền Hi Vi,0.120921865
Daran Tasha,0.11684495
Yui Asakura,0.116612285
Lý Thuần,0.115722924
Trương Hinh Dư,0.10800074
Aragaki Yuko,0.10634688
Ikeda Eliza,0.103439346
Aoi Yu,0.10113846
Tôn Nhất Ninh,0.09828228
Tao Tsuchiya,0.0916585
Ashahina Aya,0.09151095
Ân Đào,0.0879534
Nicole Kidman,0.08098984
Anya Taylor Joy,0.07942467
Lưu Thi Thi,0.06664996
Nagano Mei,0.0661722
Lâm Chí Linh,0.06489458
Lý Uyển Đát,0.064495794
Kudo Mio,0.058744103
Nagasawa Masami,0.05606773
Asuka Saito,0.049898196
Karina,0.042167578
Im Jinnah,0.041741926
Fujiyoshi Karin,0.03877817
Tanakashi Rin,0.034119375
Kang Hye Won,0.02992077
Millie Brady,0.024627902
Deguchi Natsuki,0.02449282
Vương Sở Nhiên,0.0060307863
Trương Thiên Ái,0.005606141
Deva Cassel,0.004922934
Trương Dư Hi,0.003012199
Jennifer Connely,-0.0033476083
Tưởng Hân,-0.008703255
Mao Hiểu Đồng,-0.009768747
Thư Nguyễn,-0.012427034
Aoshima Kokoro,-0.013238667
Quan Tuyết Doanh,-0.016618341
Arimura Kasumi,-0.031800613
Jung Eun-chae,-0.034491498
Miriam Leone,-0.038565867
Catherine zeta jones,-0.04459751
Trương Bá Chi,-0.053142384
Địch Lệ Nhiệt Ba,-0.066449225
Kim Claudia,-0.08950638
Diệp Toàn Chân,-0.091892764
Imoto Ayaka,-0.092154324
Hoshi Moeka,-0.093544066
Chae Soo Bin,-0.09672396
Okada Nana,-0.115384236
Matsuzaka Keiko,-0.118265145
Lâm Duẫn,-0.12066673
Phương Anh Đào,-0.123498715
Ayaka Konno,-0.13731112
Heidy Larmar,-0.14985941
Diana Kruger,-0.17392607
Jang Gyu-ri,-0.18301766
Triệu Kim Mạch,-0.19715932
Tống Dật,-0.20169334
Bao Thượng Ân,-0.2074844
Rebecca Ferguson,-0.20805153
Megan Fox,-0.21695678
Anne Hathaway,-0.22448081
Anna Chipovskaya,-0.22677046
Tanaka Yuko,-0.23668586
Han Chae-young,-0.24197075
Miyoshi Ayaka,-0.24583614
Monica Belluci,-0.24699295
Hoài Thu,-0.24772887
Elina Karinova,-0.26444504
Trương Miểu Di,-0.27359882
Natsukawa Yui,-0.2772655
Trương Tịnh Nghi,-0.27873206
Riho Takada,-0.28020138
Choi Ji Woo,-0.2843114
Nakamori Akina,-0.28608403
Jang Won-young,-0.29027402
Kudo Shizuka,-0.29305896
Nguyễn Ngoc Huyền,-0.2961028
Diệp Bảo Ngọc,-0.33088562
Cúc Tịch Y,-0.34102112
Tsuyu,-0.34936652
Quan Hiểu Đồng,-0.3544104
Winona Ryder,-0.38032192
Lee Ye bin,-0.3803563
Elle Fanning,-0.39190152
Phương Lôi,-0.39295775
Thầm Nguyệt,-0.4274394
Italy Monoca,-0.43935907
Choi Ye-won,-0.44019866
Blake Lively,-0.45078054
Sana,-0.4968065
Seino Nana,-0.50377226
Kim Hae Ri,-0.5079288
Kim Jung Won,-0.57653236
Lee Ju Eun,-0.6170273
Grace Kelly,-0.6569777
