person,quality_score,valid_video_ratio,valid_video_count,video_count,total_processed_frames,avg_processed_frames
Tôn Nhất Ninh,1.0,1.0,8.0,8.0,1240.0,155.0
Chu Lâm,1.0,1.0,7.0,7.0,1140.0,162.85714285714286
Mạnh Tử Nghĩa,1.0,1.0,4.0,4.0,691.0,172.75
Trần Đức Dung,1.0,1.0,6.0,6.0,1474.0,245.66666666666666
Trương Mẫn,1.0,1.0,8.0,8.0,1252.0,156.5
Thu Hà,1.0,1.0,8.0,8.0,1234.0,154.25
Tần Lam,1.0,1.0,9.0,9.0,1911.0,212.33333333333334
Từ Hy Viên,1.0,1.0,8.0,8.0,1315.0,164.375
Cúc Tịch Y,1.0,1.0,8.0,8.0,1616.0,202.0
Vương Tổ Hiền,1.0,1.0,8.0,8.0,1348.0,168.5
Matsuzaka Keiko,1.0,1.0,6.0,6.0,985.0,164.16666666666666
Okada Nana,1.0,1.0,4.0,4.0,916.0,229.0
Natsukawa Yui,1.0,1.0,6.0,6.0,1000.0,166.66666666666666
Anya Taylor Joy,1.0,1.0,6.0,6.0,900.0,150.0
Seino Nana,1.0,1.0,6.0,6.0,1085.0,180.83333333333334
Yoshitaka Yuriko,1.0,1.0,5.0,5.0,757.0,151.4
Trương Vũ Kỳ,1.0,1.0,4.0,4.0,699.0,174.75
Nguyễn Ngoc Huyền,0.9965714285714286,1.0,7.0,7.0,1041.0,148.71428571428572
Angel Baby,0.9924444444444445,1.0,6.0,6.0,883.0,147.16666666666666
Nagasawa Masami,0.9923809523809524,1.0,7.0,7.0,1030.0,147.14285714285714
Miyazawa Rie,0.9835555555555555,1.0,6.0,6.0,863.0,143.83333333333334
Oh Se Young,0.9833333333333334,1.0,4.0,4.0,575.0,143.75
Miriam Leone,0.9775238095238096,1.0,7.0,7.0,991.0,141.57142857142858
Jang Won-young,0.9703333333333333,1.0,8.0,8.0,1111.0,138.875
Park Jihyun,0.9702857142857143,1.0,7.0,7.0,972.0,138.85714285714286
Trịnh Sảng,0.952,1.0,8.0,8.0,1056.0,132.0
Goo Yoon Young,0.9506666666666667,1.0,8.0,8.0,1052.0,131.5
Imada Mio,0.9493333333333334,1.0,7.0,7.0,917.0,131.0
Fukada Kyoko,0.9476666666666667,1.0,8.0,8.0,1043.0,130.375
Thư Nguyễn,0.9448888888888889,1.0,6.0,6.0,776.0,129.33333333333334
Chae Soo Bin,0.944,1.0,7.0,7.0,903.0,129.0
Shin Se-kyung,0.9413333333333334,1.0,6.0,6.0,768.0,128.0
Ishihara Satomi,0.9406666666666667,1.0,8.0,8.0,1022.0,127.75
Aoi Yu,0.9393333333333334,1.0,8.0,8.0,1018.0,127.25
Roh Jeong Un,0.9368888888888889,1.0,6.0,6.0,758.0,126.33333333333333
Jung Eun-chae,0.9363809523809523,1.0,7.0,7.0,883.0,126.14285714285714
Triệu Kim Mạch,0.9318095238095239,1.0,7.0,7.0,871.0,124.42857142857143
Kim Ji Won,0.9306666666666666,1.0,8.0,8.0,992.0,124.0
Lý Gia Hân,0.9273333333333333,1.0,8.0,8.0,982.0,122.75
Vạn Thiến,0.9257142857142857,1.0,7.0,7.0,855.0,122.14285714285714
Song Hye-kyo,0.9241904761904762,1.0,7.0,7.0,851.0,121.57142857142857
Winona Ryder,0.9234285714285715,1.0,7.0,7.0,849.0,121.28571428571429
Triệu Lệ Dĩnh,0.9226666666666666,1.0,6.0,6.0,726.0,121.0
Trần Hồng,0.9206666666666666,1.0,8.0,8.0,962.0,120.25
Lâm Duẫn,0.9203809523809524,1.0,7.0,7.0,841.0,120.14285714285714
Kim Hee Sun,0.9194666666666667,1.0,5.0,5.0,599.0,119.8
Lý Uyển Đát,0.9173333333333333,1.0,6.0,6.0,714.0,119.0
Châu Huệ Mẫn,0.9156666666666666,1.0,8.0,8.0,947.0,118.375
Đỗ Băng Nhạn,0.9141333333333334,1.0,5.0,5.0,589.0,117.8
Lynne Frederick,0.9130666666666667,1.0,5.0,5.0,587.0,117.4
Karina,0.9127619047619048,1.0,7.0,7.0,821.0,117.28571428571429
Blake Lively,0.9109333333333334,1.0,5.0,5.0,583.0,116.6
Kim Tae Hee,0.9085714285714286,1.0,7.0,7.0,810.0,115.71428571428571
Lưu Hạo Tồn,0.9083333333333333,1.0,8.0,8.0,925.0,115.625
Ayaka Konno,0.9070476190476191,1.0,7.0,7.0,806.0,115.14285714285714
Vương Tử Thuần,0.907,1.0,8.0,8.0,921.0,115.125
Trương Hinh Dư,0.9066666666666667,1.0,5.0,5.0,575.0,115.0
Hoshi Moeka,0.9056,1.0,5.0,5.0,573.0,114.6
Vương Ảnh Lộ,0.904,1.0,8.0,8.0,912.0,114.0
Diệp Toàn Chân,0.904,1.0,5.0,5.0,570.0,114.0
Kudo Mio,0.9022222222222223,1.0,6.0,6.0,680.0,113.33333333333333
Phương Anh Đào,0.9016666666666666,1.0,8.0,8.0,905.0,113.125
Kim Yoo-jung,0.9003333333333333,1.0,8.0,8.0,901.0,112.625
Thẩm My Trang,0.8976,1.0,5.0,5.0,558.0,111.6
Heidy Larmar,0.8943333333333333,1.0,8.0,8.0,883.0,110.375
Aragaki Yuko,0.8938666666666666,1.0,5.0,5.0,551.0,110.2
Lưu Thi Thi,0.8918095238095238,1.0,7.0,7.0,766.0,109.42857142857143
Tưởng Cần Cần,0.8906666666666667,1.0,7.0,7.0,763.0,109.0
Anna Chipovskaya,0.8857142857142857,1.0,7.0,7.0,750.0,107.14285714285714
Sasaki Nozomi,0.883,1.0,8.0,8.0,849.0,106.125
Imoto Ayaka,0.8816666666666666,1.0,8.0,8.0,845.0,105.625
Catherine zeta jones,0.8815999999999999,1.0,5.0,5.0,528.0,105.6
Deguchi Natsuki,0.8815238095238095,1.0,7.0,7.0,739.0,105.57142857142857
Quan Hiểu Đồng,0.8796666666666666,1.0,8.0,8.0,839.0,104.875
Bạch Băng,0.8786666666666667,1.0,6.0,6.0,627.0,104.5
Lee Ye bin,0.8779999999999999,1.0,8.0,8.0,834.0,104.25
Tống Dật,0.8769523809523809,1.0,7.0,7.0,727.0,103.85714285714286
Asuka Saito,0.8758095238095238,1.0,7.0,7.0,724.0,103.42857142857143
Mao Hiểu Đồng,0.8750476190476191,1.0,7.0,7.0,722.0,103.14285714285714
Dương Mịch,0.8743333333333333,1.0,8.0,8.0,823.0,102.875
Đồng Lệ Á,0.8731428571428571,1.0,7.0,7.0,717.0,102.42857142857143
Hoài Thu,0.87,1.0,8.0,8.0,810.0,101.25
Keira Knightkey,0.8698666666666666,1.0,5.0,5.0,506.0,101.2
Toda Erika,0.8676666666666666,1.0,8.0,8.0,803.0,100.375
Lily Collins,0.8675555555555555,1.0,6.0,6.0,602.0,100.33333333333333
Phạm Băng Băng,0.8656666666666666,1.0,8.0,8.0,797.0,99.625
Rena Nounen,0.8647619047619048,1.0,7.0,7.0,695.0,99.28571428571429
Jang Gyu-ri,0.864,1.0,6.0,6.0,594.0,99.0
Cổ Lực Na Trát,0.8636190476190476,1.0,7.0,7.0,692.0,98.85714285714286
Komatsu Nana,0.8622222222222222,1.0,9.0,9.0,885.0,98.33333333333333
Hong Hwa-yeon,0.8617777777777778,1.0,6.0,6.0,589.0,98.16666666666667
Jennifer Connely,0.8613333333333333,1.0,9.0,9.0,882.0,98.0
Trương Miểu Di,0.8586666666666667,1.0,9.0,9.0,873.0,97.0
Hamabe Minami,0.8586666666666667,1.0,10.0,10.0,970.0,97.0
Mai Davika,0.8571428571428572,1.0,7.0,7.0,675.0,96.42857142857143
Tao Tsuchiya,0.8564444444444445,1.0,6.0,6.0,577.0,96.16666666666667
Quan Tuyết Doanh,0.8542222222222222,1.0,6.0,6.0,572.0,95.33333333333333
Nagano Mei,0.8533333333333333,1.0,8.0,8.0,760.0,95.0
Son Ye-jin,0.8525714285714285,1.0,7.0,7.0,663.0,94.71428571428571
Diệp Bảo Ngọc,0.8522666666666666,1.0,5.0,5.0,473.0,94.6
Địch Lệ Nhiệt Ba,0.851,1.0,8.0,8.0,753.0,94.125
Katsumura Mika,0.8488888888888889,1.0,3.0,3.0,280.0,93.33333333333333
Trương Bá Chi,0.8486666666666667,1.0,8.0,8.0,746.0,93.25
Ozawa Mayu,0.8457777777777777,1.0,6.0,6.0,553.0,92.16666666666667
Trương Tịnh Nghi,0.8448888888888889,1.0,6.0,6.0,551.0,91.83333333333333
Alesandrova Marina,0.8438095238095238,1.0,7.0,7.0,640.0,91.42857142857143
Vương Sở Nhiên,0.8434285714285714,1.0,7.0,7.0,639.0,91.28571428571429
Nakama Yukie,0.8426666666666667,1.0,6.0,6.0,546.0,91.0
Millie Brady,0.8422222222222222,1.0,6.0,6.0,545.0,90.83333333333333
Arimura Kasumi,0.842,1.0,8.0,8.0,726.0,90.75
Bae Suzy,0.8416,1.0,5.0,5.0,453.0,90.6
Fujiyoshi Karin,0.8413333333333334,1.0,6.0,6.0,543.0,90.5
Shiraishi Sei,0.8396666666666667,1.0,8.0,8.0,719.0,89.875
Ikeda Eliza,0.8395555555555555,1.0,6.0,6.0,539.0,89.83333333333333
Lý Thuần,0.8393333333333334,1.0,8.0,8.0,718.0,89.75
Kim Jung Won,0.8392380952380952,1.0,7.0,7.0,628.0,89.71428571428571
Lưu Tâm Du,0.839,1.0,8.0,8.0,717.0,89.625
Kudo Shizuka,0.8389333333333333,1.0,5.0,5.0,448.0,89.6
Chương Nhược Nam,0.8386666666666667,1.0,8.0,8.0,716.0,89.5
Đại Lộ Oa,0.838,1.0,8.0,8.0,714.0,89.25
Aoshima Kokoro,0.8378666666666666,1.0,5.0,5.0,446.0,89.2
Tanaka Yuko,0.8377142857142857,1.0,7.0,7.0,624.0,89.14285714285714
Han Chae-young,0.8333333333333334,1.0,4.0,4.0,350.0,87.5
Quan Chi Lâm,0.83,1.0,8.0,8.0,690.0,86.25
Tsuyu,0.8293333333333334,1.0,6.0,6.0,516.0,86.0
Hashimoto Kana,0.828952380952381,1.0,7.0,7.0,601.0,85.85714285714286
Choi Ye-won,0.8263333333333334,1.0,8.0,8.0,679.0,84.875
Im Jinnah,0.8255238095238095,1.0,7.0,7.0,592.0,84.57142857142857
Deva Cassel,0.8243809523809524,1.0,7.0,7.0,589.0,84.14285714285714
Choi Ji Woo,0.8213333333333334,1.0,6.0,6.0,498.0,83.0
Yui Asakura,0.8204444444444444,1.0,6.0,6.0,496.0,82.66666666666667
Anne Hathaway,0.8156190476190477,1.0,7.0,7.0,566.0,80.85714285714286
Megan Fox,0.8153333333333334,1.0,8.0,8.0,646.0,80.75
Trương Dư Hi,0.8146666666666667,1.0,8.0,8.0,644.0,80.5
Can Đình ĐÌnh,0.8126666666666666,1.0,8.0,8.0,638.0,79.75
Monica Belluci,0.812,1.0,6.0,6.0,477.0,79.5
Miyoshi Ayaka,0.811047619047619,1.0,7.0,7.0,554.0,79.14285714285714
Phương Lôi,0.8106666666666666,1.0,3.0,3.0,237.0,79.0
Ân Đào,0.8096,1.0,5.0,5.0,393.0,78.6
Bao Thượng Ân,0.8086666666666666,1.0,8.0,8.0,626.0,78.25
Tanakashi Rin,0.808,1.0,6.0,6.0,468.0,78.0
Italy Monoca,0.8074666666666667,1.0,5.0,5.0,389.0,77.8
Diana Kruger,0.8071111111111111,1.0,6.0,6.0,466.0,77.66666666666667
Tưởng Hân,0.8066666666666666,1.0,6.0,6.0,465.0,77.5
Sana,0.8056666666666666,1.0,8.0,8.0,617.0,77.125
Nicole Kidman,0.804952380952381,1.0,7.0,7.0,538.0,76.85714285714286
Daran Tasha,0.8046666666666666,1.0,8.0,8.0,614.0,76.75
Hirose Suzu,0.8016,1.0,5.0,5.0,378.0,75.6
Han Hyo-joo,0.8009999999999999,1.0,8.0,8.0,603.0,75.375
Thầm Nguyệt,0.8008888888888889,1.0,6.0,6.0,452.0,75.33333333333333
Nakamori Akina,0.8002666666666667,1.0,10.0,10.0,751.0,75.1
Lee Ju Eun,0.7984761904761905,1.0,7.0,7.0,521.0,74.42857142857143
Elle Fanning,0.795047619047619,1.0,7.0,7.0,512.0,73.14285714285714
Lâm Chí Linh,0.7931428571428571,1.0,7.0,7.0,507.0,72.42857142857143
Riho Takada,0.78,1.0,6.0,6.0,405.0,67.5
Rebecca Ferguson,0.778,1.0,4.0,4.0,267.0,66.75
Ashahina Aya,0.7777777777777778,1.0,6.0,6.0,400.0,66.66666666666667
Điền Hi Vi,0.776,1.0,7.0,7.0,462.0,66.0
Kim Claudia,0.7754666666666666,1.0,5.0,5.0,329.0,65.8
Kang Hye Won,0.7653333333333333,1.0,6.0,6.0,372.0,62.0
Elina Karinova,0.7554285714285714,1.0,7.0,7.0,408.0,58.285714285714285
Kim Hae Ri,0.7426666666666667,1.0,6.0,6.0,321.0,53.5
Trương Thiên Ái,0.7117333333333333,0.8333333333333334,5.0,6.0,397.0,79.4
Grace Kelly,0.6542857142857142,0.8571428571428571,6.0,7.0,315.0,52.5
