person,Alesandrova Marina,Angel Baby,Anna Chipovskaya,Anne Hathaway,Anya Taylor Joy,Aoi Yu,Aoshima Kokoro,Aragaki Yuko,Arimura Kasumi,Ashahina Aya,Asuka Saito,Ayaka Konno,Bae Suzy,Bao Thượng Ân,Blake Lively,Bạch Băng,Can Đình ĐÌnh,Catherine zeta jones,Chae Soo Bin,Choi Ji Woo,Choi Ye-won,Chu Lâm,Châu Huệ Mẫn,Chương Nhược Nam,Cúc Tịch Y,Cổ Lực Na Trát,Daran Tasha,Deguchi Natsuki,Deva Cassel,Diana Kruger,Diệp Bảo Ngọc,Diệp Toàn Chân,Dương Mịch,Elina Karinova,Elle Fanning,Fujiyoshi Karin,Fukada Kyoko,Goo Yoon Young,Grace Kelly,Hamabe Minami,Han Chae-young,Han Hyo-joo,Hashimoto Kana,Heidy Larmar,Hirose Suzu,Hong Hwa-yeon,Hoshi Moeka,Hoài Thu,Ikeda Eliza,Im Jinnah,Imada Mio,Imoto Ayaka,Ishihara Satomi,Italy Monoca,Jang Gyu-ri,Jang Won-young,Jennifer Connely,Jung Eun-chae,Kang Hye Won,Karina,Katsumura Mika,Keira Knightkey,Kim Claudia,Kim Hae Ri,Kim Hee Sun,Kim Ji Won,Kim Jung Won,Kim Tae Hee,Kim Yoo-jung,Komatsu Nana,Kudo Mio,Kudo Shizuka,Lee Ju Eun,Lee Ye bin,Lily Collins,Lynne Frederick,Lâm Chí Linh,Lâm Duẫn,Lý Gia Hân,Lý Thuần,Lý Uyển Đát,Lưu Hạo Tồn,Lưu Thi Thi,Lưu Tâm Du,Mai Davika,Mao Hiểu Đồng,Matsuzaka Keiko,Megan Fox,Millie Brady,Miriam Leone,Miyazawa Rie,Miyoshi Ayaka,Monica Belluci,Mạnh Tử Nghĩa,Nagano Mei,Nagasawa Masami,Nakama Yukie,Nakamori Akina,Natsukawa Yui,Nguyễn Ngoc Huyền,Nicole Kidman,Oh Se Young,Okada Nana,Ozawa Mayu,Park Jihyun,Phương Anh Đào,Phương Lôi,Phạm Băng Băng,Quan Chi Lâm,Quan Hiểu Đồng,Quan Tuyết Doanh,Rebecca Ferguson,Rena Nounen,Riho Takada,Roh Jeong Un,Sana,Sasaki Nozomi,Seino Nana,Shin Se-kyung,Shiraishi Sei,Son Ye-jin,Song Hye-kyo,Tanaka Yuko,Tanakashi Rin,Tao Tsuchiya,Thu Hà,Thư Nguyễn,Thầm Nguyệt,Thẩm My Trang,Toda Erika,Triệu Kim Mạch,Triệu Lệ Dĩnh,Trương Bá Chi,Trương Dư Hi,Trương Hinh Dư,Trương Miểu Di,Trương Mẫn,Trương Thiên Ái,Trương Tịnh Nghi,Trương Vũ Kỳ,Trần Hồng,Trần Đức Dung,Trịnh Sảng,Tsuyu,Tôn Nhất Ninh,Tưởng Cần Cần,Tưởng Hân,Tần Lam,Tống Dật,Từ Hy Viên,Vương Sở Nhiên,Vương Tổ Hiền,Vương Tử Thuần,Vương Ảnh Lộ,Vạn Thiến,Winona Ryder,Yoshitaka Yuriko,Yui Asakura,Ân Đào,Điền Hi Vi,Đại Lộ Oa,Địch Lệ Nhiệt Ba,Đồng Lệ Á,Đỗ Băng Nhạn
Alesandrova Marina,0.9999999,-0.24222572,-0.14722441,-0.037782434,0.36259955,0.32076514,0.19730937,-0.10003738,0.344556,0.029667309,0.04885775,0.012378053,0.22240385,-0.0371878,-0.4381907,-0.06775263,-0.07851548,0.078473546,0.079035245,0.29281265,-0.24940254,-0.1422705,-0.0012141037,0.3079345,0.08678557,0.19365011,0.09287185,-0.2300218,0.108087234,0.26770478,0.06961423,0.00019605602,0.376966,0.09238876,-0.090864606,0.17920637,-0.16130039,-0.15891819,-0.2930367,-0.074205555,-0.3415981,-0.17997271,-0.048819702,0.24474269,0.03961087,0.2734677,0.38514304,0.42668957,0.0015332231,0.1999272,0.40947452,0.00088617625,-0.13451305,-0.23556145,-0.5817554,-0.42180637,-0.0028267077,-0.24927501,0.27774626,0.06837775,0.17613003,0.1195033,0.11610582,-0.23548931,0.32032374,-0.072649375,-0.103631176,0.01291738,0.13911118,-0.2089042,0.41792488,-0.084725626,-0.10979527,-0.26081663,-0.32252586,0.46859282,0.051757358,-0.011866656,-0.0747388,0.17704815,-0.43752554,-0.21438979,-0.023487072,-0.16899915,0.36696076,-0.07186717,-0.37719622,-0.11898049,-0.16480044,-0.07624892,-0.1075755,0.36281365,0.15753745,0.15769182,-0.16229501,-0.056751333,0.59277254,-0.44325784,-0.14496447,-0.20257778,-0.30674922,0.14133263,-0.10120559,0.39229533,-0.12536418,-0.50349593,0.09545133,0.44285172,-0.10139636,0.32375064,0.11615343,-0.16075866,-0.1079732,-0.21304609,0.13324293,-0.15631625,0.24503143,0.006168961,0.045937043,0.3100655,-0.029306334,0.14604303,-0.40818593,-0.07141409,-0.20101336,0.123848476,0.07842699,-0.11301542,0.39401448,-0.08294966,0.02045338,0.020028938,0.058916893,0.15500544,0.07558886,0.14893241,-0.4094795,-0.07214447,-0.24690264,-0.139332,0.1596238,-0.2584432,-0.2998274,0.014654649,-0.14610837,0.38746867,-0.26395774,0.07420695,0.17981344,0.023130005,0.08559318,-0.107998095,0.10968127,0.26778,-0.0073948237,-0.0734148,-0.27214122,-0.33340868,-0.12857726,0.38849837,0.12071121,-0.13064106,0.043050736,0.29963464
Angel Baby,-0.24222572,0.99999994,-0.15745698,0.07100355,-0.0011557745,-0.4246807,-0.48947045,-0.32028168,-0.52921164,-0.00609865,-0.16357102,-0.50264436,0.45173264,0.030849256,-0.38696668,0.56374955,0.6610141,-0.26398024,-0.102425754,-0.11175502,-0.46667784,0.13955133,0.13936776,0.25935307,0.062111244,0.3106826,0.30346438,-0.06322609,0.26705,-0.13668467,-0.20180745,0.031264357,0.06467886,-0.1374775,-0.100209095,0.09801329,-0.1358417,0.028515926,-0.65797096,0.15740903,-0.03378067,0.27702707,0.5417911,-0.46675608,-0.057281997,0.024608592,-0.3083068,-0.20926261,0.0964714,0.10996855,-0.41686544,-0.47433475,-0.09174705,-0.21217999,0.13627823,0.08148037,-0.2964498,0.0037611201,-0.080571465,0.048247524,-0.23961782,-0.19530189,-0.14649543,-0.1786713,-0.16707101,0.65817255,-0.30481142,0.36168,0.203818,0.311441,-0.38738778,-0.4824365,-0.28816804,0.0056575136,0.53138936,-0.25301272,0.11987415,-0.14808884,0.48185536,-0.3057094,0.59290266,0.34164375,0.25853574,0.43835953,0.19667941,0.16702469,-0.07349959,-0.28060496,-0.14240964,0.0038234233,-0.14435436,-0.70261925,-0.027593289,0.36472127,-0.2677356,-0.42172593,-0.42428914,-0.24751744,-0.53473216,0.07000326,-0.034874782,-0.12876186,-0.23387012,-0.22961806,0.55796546,0.22941217,-0.27991474,0.10922743,0.32731992,-0.11677509,0.17058383,-0.4442758,-0.15578856,-0.2224635,0.096906334,-0.4561155,-0.16048095,-0.44414687,0.2517664,-0.1618555,0.007856048,-0.079175115,-0.29594588,-0.3641083,-0.164176,-0.0010481142,0.16273586,-0.2589154,-0.20999198,0.037418183,0.10830815,0.59102154,-0.40640756,0.20184302,0.3723672,-0.3179933,0.450127,0.19211192,0.21999697,0.5060241,0.31486145,0.4868594,0.0043387422,-0.42067656,0.5729653,0.09073144,0.53865117,-0.03794576,-0.05529198,0.5403885,0.41708943,0.022921868,0.32027805,0.054036006,0.58091795,-0.17736518,0.23402579,0.3794117,0.32676023,-0.09931745,0.45824248,0.37111267,0.5120821,-0.23310171
Anna Chipovskaya,-0.14722441,-0.15745698,1.0000002,0.24482705,0.3895271,0.08590979,0.4229871,-0.16643028,-0.3168463,0.09901616,0.18591109,0.037308868,-0.41659045,-0.19607742,0.35412735,-0.4249019,-0.15083706,0.3170694,0.5670358,0.19177926,0.10142977,-0.59011155,-0.008413175,0.22473076,0.043580875,-0.07134469,-0.3489681,-0.4183486,0.19754827,-0.18868087,0.22650704,0.015117029,-0.5752383,0.09731893,-0.015427181,-0.20104039,-0.5040782,0.3533807,0.26555765,-0.30733144,-0.29298267,-0.37866148,-0.3058016,-0.0861651,0.21201447,-0.3530089,-0.06911048,0.09750192,0.3226241,-0.049296856,0.25034922,-0.21765095,-0.23966202,0.3304851,0.3367066,0.14476508,0.038839977,0.42153928,-0.18168183,-0.18068099,-0.37370655,-0.06855705,-0.10929668,0.35728022,0.23353603,-0.017153937,0.042446703,-0.28778043,-0.08779295,-0.24584238,-0.09983551,0.38061562,0.38762838,0.38607952,0.18902114,-0.06381871,-0.4888198,-0.012495522,-0.19159515,-0.3389892,-0.17598286,-0.034926433,-0.13540198,0.052179094,-0.054820687,0.2924964,0.09763952,0.0900792,0.052057747,-0.1434925,-0.23184599,0.3504696,0.28235465,0.3081406,-0.08421893,-0.13608629,-0.17762029,-0.29301286,0.1753004,0.21299703,-0.076732375,0.19285084,0.57746524,-0.34503508,-0.08909927,0.06536405,0.15766829,-0.2925416,0.09495589,-0.10593122,-0.009060227,0.27049202,-0.11778296,0.13892409,-0.33531538,0.16703434,-0.32449543,0.3407066,0.096977234,-0.27410156,-0.021727232,-0.37526554,0.13658746,-0.12556691,-0.009911862,-0.1607907,-0.4685566,-0.09096822,-0.3099057,-0.1791591,0.27029654,-0.365237,-0.14295998,0.50736743,-0.105799735,0.4331721,0.14722152,0.38435805,0.17884326,0.30251235,-0.23275107,0.1858235,0.0370395,-0.13813289,0.36580116,-0.2529658,-0.16088244,0.1621597,0.047362525,-0.3520816,-0.07246419,-0.2529069,-0.0049938336,0.060510047,0.1805157,0.21462192,0.15197857,-0.102130495,0.45078817,-0.589585,-0.35648125,-0.22500685,-0.24443807,0.1939591
Anne Hathaway,-0.037782434,0.07100355,0.24482705,1.0000002,0.0015525877,-0.50749,0.030607812,-0.261653,0.00510205,-0.19825314,0.22107822,-0.33869866,0.2965712,0.2829855,0.036073405,-0.10187108,0.38788977,-0.08088577,0.0075783934,0.25912535,0.031136006,-0.38439313,-0.038069945,0.15303606,0.27639303,0.09992868,0.18803948,-0.12521704,0.4723904,0.33578765,-0.10465609,-0.0298613,-0.050053246,-0.22392221,0.17307344,0.34425902,-0.4438217,-0.2949072,0.10630381,0.0010297132,-0.011596904,-0.20159455,0.28753266,-0.20635918,0.23118047,-0.0999975,-0.17585659,-0.06404023,0.23626864,0.2065734,-0.26407802,-0.36879283,-0.22147614,0.33782122,0.42413473,0.3938453,-0.047941618,0.25585845,-0.29789898,-0.20596534,-0.16276416,-0.34977707,0.27512583,0.30700296,-0.1908785,0.063415304,0.1761206,0.17008068,-0.06600527,0.145226,-0.009895986,-0.27500987,0.24930972,0.24885839,0.40802184,-0.2736669,-0.011982419,-0.12551895,-0.013346268,-0.27264014,0.24856856,-0.041174047,0.22844377,0.13364843,-0.22016546,0.2120585,-0.3037379,-0.07606988,0.10710036,-0.115661144,-0.45613724,-0.15000445,0.2925977,-0.013851858,-0.36142448,-0.41768602,-0.24595213,-0.32369143,-0.22664808,0.2778613,-0.046730336,-0.3469795,-0.03733591,-0.24380091,0.214583,0.14904353,-0.12672283,-0.16397797,0.118087545,0.07339116,0.11429891,0.14697716,-0.060601454,-0.0060250126,-0.07001649,0.22167125,-0.22273679,-0.08620455,-0.28585914,-0.08969549,-0.07680056,-0.5751292,-0.17189327,-0.1073958,-0.27327943,-0.48135114,-0.12493449,0.11477381,0.03086408,0.04481998,0.0049665817,-0.037426654,-0.43225092,0.16384298,0.09461415,0.2759171,0.11067863,0.16504812,0.55588186,0.36895028,-0.24141484,0.019105919,-0.38332844,0.1449279,0.3126406,-0.21256946,0.21108313,-0.33581257,0.119650505,-0.4321877,0.27107862,-0.557807,-0.01180206,-0.38924417,0.28316575,0.23505549,0.045341905,0.35821608,0.15275894,-0.24262412,-0.0058544166,0.19301517,-0.008141561,-0.3397314
Anya Taylor Joy,0.36259955,-0.0011557745,0.3895271,0.0015525877,1.0000001,0.36801943,0.5121346,-0.19244461,-0.26705763,0.20131212,0.3017603,0.12898272,-0.0863136,-0.37965733,0.09434502,-0.047904808,-0.14161414,0.033999346,0.5732788,0.5003856,-0.012041452,-0.43561867,0.124698445,0.29489788,0.07951839,-0.18822524,-0.065257765,-0.1624734,0.28599685,-0.16889878,-0.004945933,0.027718658,-0.23173909,0.25057888,-0.12966156,0.22067422,-0.27712807,0.12919796,-0.095594294,-0.23135981,-0.39023829,-0.23792328,-0.2844604,-0.10591846,0.07343606,-0.19135725,0.13484648,0.3981908,0.2908411,-0.14210263,0.27225968,-0.09513809,-0.14067884,-0.08985607,-0.25294128,-0.26177078,-0.24017765,-0.12797014,0.20898668,0.25729,-0.27226904,-0.016029201,-0.045743544,-0.048786595,0.41573188,-0.090624094,-0.1269667,-0.3489413,0.18153527,-0.19322391,0.4803581,0.17755029,0.1364874,-0.026077582,-0.118609674,0.15335645,-0.27112502,0.39632812,-0.03746688,-0.19961151,-0.34848547,-0.014086335,-0.39443353,-0.05370058,0.30218554,0.20007029,-0.10017952,0.23095441,-0.04421043,-0.16952893,-0.19691235,0.29334706,-0.039304655,0.3105374,-0.0623939,-0.12156746,0.31451738,-0.2824316,-0.18200086,-0.017894302,-0.29551244,0.22115478,0.32626724,0.0152250845,0.016882747,-0.4964693,0.093394525,-0.023768226,-0.0752541,0.004406754,0.04243857,0.1404795,-0.24240561,-0.02089886,0.3357467,-0.09724721,0.10645103,0.24096216,0.1314532,0.08273311,-0.42765653,0.0826307,-0.06168415,-0.09615763,-0.2628799,0.06194815,-0.2182791,-0.26550278,-0.0678408,-0.17797035,0.2645244,-0.07872801,-0.09897419,0.42716697,-0.21833591,0.25813022,-0.192877,0.15332028,-0.25081944,-0.011443178,-0.20330267,-0.0902733,-0.15979932,-0.15568112,0.24389406,0.029307906,-0.31313163,0.11100969,0.17521511,-0.1444118,-0.13312902,-0.30415833,-0.058936138,0.34931654,0.046399716,0.20051554,0.09329603,-0.21463077,0.22980449,-0.030311534,0.1247568,-0.18822832,-0.016017383,0.30151084
Aoi Yu,0.32076514,-0.4246807,0.08590979,-0.50749,0.36801943,0.9999998,0.4974287,0.14478791,0.15386707,0.1503326,-0.066038065,0.42139703,-0.5076901,-0.15977693,0.07017452,-0.25383082,-0.5353544,0.18476856,0.35722297,0.010976329,0.052645646,0.07277759,-0.12508678,0.013096595,-0.11090419,-0.31366616,-0.28475547,-0.07762159,-0.26409525,-0.14354174,0.18528725,-0.052827325,-0.020883862,0.15085153,-0.17705244,-0.30781877,0.12754925,0.2201687,0.25277722,-0.03010262,-0.073409274,-0.30504566,-0.5703752,0.42063612,-0.10254231,0.06049344,0.4111695,0.2943969,0.0067195124,-0.33157754,0.4713793,0.30749258,0.13904873,-0.15541321,-0.37853962,-0.33603427,-0.061108537,-0.19887675,0.15189306,0.010584039,-0.03922199,0.24744038,-0.16878572,-0.086217195,0.40071815,-0.3388096,-0.013877588,-0.4190657,0.0200819,-0.39939532,0.38578653,0.40938276,0.037849136,-0.14411025,-0.5284689,0.26376826,-0.2596225,0.41970846,-0.2583294,0.31965235,-0.5068183,0.05285222,-0.38293725,-0.19232184,0.26851737,0.062172525,0.14354824,0.017419213,-0.052451357,-0.27623782,0.3273816,0.41721615,-0.13486467,0.094958484,0.19992164,0.36112866,0.48836067,0.066650845,0.279823,-0.10122512,-0.079287946,0.49443904,0.32623532,0.21585615,-0.30931407,-0.32717818,0.123619966,0.1863352,-0.47897053,0.0022476485,0.20700367,0.06366679,-0.08593757,-0.01362086,0.027278636,0.11535511,0.23126633,0.3991452,0.03695989,0.10272188,-0.0045290035,0.329289,0.17264351,0.07650032,-0.033513166,0.4691101,-0.27906168,-0.07020089,0.1794265,-0.1187013,-0.15213071,-0.17037378,0.37855676,0.03978933,-0.25267935,0.08065259,-0.34505528,0.09727761,-0.42921963,-0.4355332,-0.0601479,-0.2897519,0.18884593,0.21478167,-0.22055413,0.112464346,-0.5417538,0.447156,0.22465281,-0.03805852,-0.38296992,0.21161589,-0.112146914,0.34286737,-0.3732163,0.022929523,-0.15860161,-0.5635723,-0.03625671,0.24389651,-0.20157075,-0.38224408,-0.17432949,0.50193274
Aoshima Kokoro,0.19730937,-0.48947045,0.4229871,0.030607812,0.5121346,0.4974287,1.0000004,0.4500644,0.15161927,0.035295017,0.5396912,0.5107148,-0.23687059,-0.42463252,0.48969835,-0.14321297,-0.5797825,0.11310058,0.3515943,0.18964337,0.4032704,-0.356586,0.17173013,-0.22577183,-0.294625,-0.6044527,-0.2869117,0.21216239,0.057179824,-0.3040109,-0.01067451,-0.18930528,-0.45338574,-0.008819142,-0.055467054,0.037032254,0.047478136,0.32154697,0.38491523,-0.03687418,-0.10219013,-0.22052027,-0.50463814,-0.12496404,0.3197886,-0.13677908,0.07466771,0.022721963,0.31147286,-0.33876443,0.4336672,0.4238298,0.22429785,-0.010810493,0.13829583,-0.16840309,0.10525531,0.053241536,-0.08114787,0.084558286,0.029345192,0.38707438,-0.011667389,0.039388657,0.5371473,-0.30789122,-0.07600139,-0.5250359,0.2739492,0.05780263,0.5624649,0.3477463,0.15798883,-0.1631542,-0.24021587,0.010073277,-0.25556377,0.52311456,-0.26645163,-0.12779517,-0.5526001,-0.168325,-0.63177776,-0.0726323,0.04833507,0.12293273,0.17153431,0.33587345,0.34933877,-0.18766935,0.05911421,0.5395377,-0.2923249,-0.28310353,0.4968958,0.48723903,0.34783936,0.20807955,0.25124827,-0.13955769,0.1718088,0.3556994,0.53118026,0.061635595,-0.21801017,-0.40975624,0.048309237,-0.19751272,-0.29682472,-0.3901859,-0.26318088,0.5414739,0.3595971,0.20775831,0.15310515,0.21744749,0.35233474,0.24209295,-0.15584183,0.3323917,-0.30348518,0.12823549,0.5368386,0.4704542,0.19598359,0.2750712,-0.48507866,-0.1016581,-0.07731522,0.2352557,-0.05624024,-0.46665585,0.1931631,0.07924436,-0.55559236,0.20001356,-0.23160148,0.011979381,-0.42484352,-0.30241093,-0.6430759,-0.25222355,0.19037662,0.0016139623,-0.08526232,-0.4369027,-0.7257032,0.2320678,0.108191006,-0.41232613,-0.6088416,-0.15879574,-0.45881808,-0.057717077,-0.510926,0.19128741,0.26019633,-0.167201,-0.0352643,-0.15038642,-0.13711716,-0.52551705,-0.53953755,0.19418842
Aragaki Yuko,-0.10003738,-0.32028168,-0.16643028,-0.261653,-0.19244461,0.14478791,0.4500644,0.99999994,0.31209266,-0.07809395,0.2237781,0.6486869,-0.07657091,-0.5062646,0.48792067,0.2588793,-0.4142211,-0.05921447,-0.17691927,-0.40575552,0.498787,0.063706815,0.4372462,-0.6541695,-0.6018515,-0.6179472,-0.11024484,0.7060153,-0.37363756,-0.43509367,-0.1264138,-0.2218684,-0.21553062,-0.033846658,0.04688158,0.044189095,0.5977734,0.33944792,0.30176118,0.24245687,0.35095602,0.4057721,-0.22523266,-0.15505882,0.40768844,0.04046103,-0.22048065,-0.47967708,-0.009394521,-0.2382026,0.20461388,0.5627724,0.6507037,-0.20197256,0.32359594,-0.22012965,0.38297665,0.10416278,-0.0912144,-0.02329032,0.3809361,0.6017272,0.13466312,-0.19598645,0.18965861,-0.12300517,-0.3168905,-0.13581623,0.109711796,0.47387105,0.313353,0.21559593,-0.26628694,-0.515822,-0.30440098,-0.08670696,0.030308627,0.18422417,-0.039214514,0.15435998,-0.16527408,-0.060021177,-0.4615862,-0.16185953,-0.0010009261,-0.079940096,0.1975792,0.40817684,0.4599832,0.10950235,0.39945027,0.17033315,-0.78977025,-0.68592066,0.88439864,0.81692976,0.15241459,0.66467965,0.43515092,-0.131641,0.5338998,0.017917018,0.1393087,0.09133926,-0.14303908,-0.1295192,-0.027447185,-0.40653253,-0.23581909,-0.6445168,-0.5423615,0.5491778,0.8141509,0.31200448,0.24613972,-0.06012132,0.61226803,-0.04486608,-0.097904146,0.22327225,0.056432046,0.4984855,0.6503648,0.7459501,0.45989016,0.40106502,-0.21002059,-0.1684544,-0.19932266,0.7277508,-0.18183094,-0.1094785,0.52855,-0.635848,-0.6916275,-0.42243785,-0.11684318,-0.5798653,-0.4418292,-0.537445,-0.43715987,-0.16161864,0.69403803,-0.020054406,-0.5594185,-0.44477585,-0.4700495,0.15991044,-0.3242607,0.057866294,-0.80189204,0.3076456,-0.6211484,-0.36363754,-0.6415213,-0.030019494,0.42849538,0.053187236,-0.41601673,-0.108243726,-0.15695769,-0.30398244,-0.4336094,-0.05471856
Arimura Kasumi,0.344556,-0.52921164,-0.3168463,0.00510205,-0.26705763,0.15386707,0.15161927,0.31209266,1.0000002,-0.31959203,-0.083487526,0.20588067,0.0765047,0.2801389,-0.068842426,-0.18135889,-0.4493564,-0.058349453,-0.37514982,-0.18690374,-0.003972407,0.26607755,-0.09183851,-0.2977597,0.16089861,-0.1604966,-0.1317481,0.269861,-0.3270785,0.4496954,-0.14771378,-0.059901934,0.48618916,-0.41139376,-0.1835669,-0.042534538,0.2883842,-0.27334988,0.19320941,0.010043534,0.16299163,0.06017153,0.0071513117,0.5424619,0.04572285,0.47368914,0.45336086,-0.093914494,-0.08543577,0.06901331,0.12639017,0.52405655,0.021997884,-0.20031877,-0.20001842,-0.2520065,0.28959066,-0.07686512,0.08151356,-0.15690188,0.55879986,0.23674625,0.42315963,-0.215617,-0.20315357,-0.3194901,0.035148036,-0.032240562,0.018230429,0.14508793,0.15543719,-0.14822093,-0.16288802,-0.339383,-0.5912773,0.28266865,0.41086358,-0.08869258,-0.14114061,0.4815821,-0.23108052,-0.119421005,0.013590821,-0.15850402,0.10055414,-0.42458475,0.015277674,0.023738213,0.31564584,-0.08752259,0.4052661,0.44464532,-0.02556186,-0.41923225,0.15730718,0.3652021,0.5036206,0.13166149,0.13771228,-0.42729554,0.25639963,0.11131687,-0.21150051,0.48122576,-0.19164746,-0.014847532,0.046182264,0.21763338,-0.22735526,0.21759762,-0.004079044,0.26195335,0.20782113,-0.20734747,0.18866706,0.11968467,0.094432965,-0.075866,-0.3141687,0.5659502,0.10832521,0.22588722,0.14373998,0.4794011,0.116509885,0.16580786,0.017450234,0.15423791,0.5199346,0.14216335,-0.35440704,-0.29660088,0.036054518,-0.5297842,-0.06922301,0.16711046,-0.2968403,-0.33204094,-0.037436474,-0.3287188,-0.2263349,-0.3807036,-0.06799446,0.30772442,-0.44906434,0.053187635,-0.3006874,0.124657914,-0.09745631,-0.056837864,-0.21422543,0.14515127,-0.36625051,-0.23457976,-0.5548426,-0.002037331,-0.21764103,-0.2013077,-0.4962274,0.36040685,-0.13322274,-0.20574495,-0.29923552,-0.053560454
Ashahina Aya,0.029667309,-0.00609865,0.09901616,-0.19825314,0.20131212,0.1503326,0.035295017,-0.07809395,-0.31959203,1.0000001,0.113069095,0.1915303,-0.10675714,-0.28954515,-0.0682407,0.0019102023,0.06278961,-0.27747905,0.058782574,0.22428116,-0.20929092,-0.080409296,0.20491794,0.15924346,-0.22950217,0.10519269,0.025420303,-0.1749244,-0.13049056,-0.33714864,-0.022055462,0.15805821,-0.120243534,0.4090788,-0.28972724,-0.14196593,0.10896666,0.24952994,-0.16479957,-0.4107711,-0.26250708,0.19510323,-0.31142294,-0.14308862,0.21244645,-0.19080918,-0.3579447,-0.092074245,-0.07289858,-0.08792815,0.2232235,0.17103688,-0.26208925,-0.33267674,-0.17186993,-0.29646328,0.0885438,-0.07571915,0.23623791,0.5217675,0.18454102,0.13646142,-0.11329946,-0.19493024,0.058024235,0.11697464,-0.20412982,-0.12329251,0.07944165,-0.26879466,-0.053877406,0.18718629,-0.106948666,-0.04288095,0.079099424,0.032793295,0.17249665,0.042024408,0.18801598,0.008013608,-0.2591262,-0.2566899,-0.1915891,0.15900344,0.040950112,0.054109845,0.26205245,0.05281513,0.001621774,0.0045103794,0.09345117,0.070925556,-0.019610543,0.10836522,0.12506926,0.021539975,-0.20302714,0.014400362,-0.10799095,0.062007286,0.18288678,0.020822791,-0.07721512,0.15340026,0.004914536,-0.46104202,0.054810077,0.07647473,0.28047112,-0.1630639,-0.19729266,-0.1109416,-0.070856355,0.17067795,-0.06574309,-0.31414258,-0.061519153,-0.1436258,0.18608876,-0.13099584,0.040046178,0.06410034,0.07505252,0.113298215,0.23837861,-0.042554647,-0.06785146,-0.2134891,-0.3060411,-0.05350426,0.11150663,-0.078004226,0.27200344,0.29272842,-0.14360034,-0.1592756,0.27908888,0.15392514,-0.06164307,-0.038234472,0.13040584,0.11029407,0.09125461,-0.14272904,0.00029663823,0.19669273,-0.07645338,-0.15533102,-0.13353008,-0.03143219,0.057847325,0.07593989,0.017893277,0.3442665,0.052393515,-0.087401785,-0.014277443,0.05356552,0.29435748,-0.028605377,0.24660218,-0.037744377,0.17709176,0.47690454
