person_a,person_b,similarity
Aragaki Yuko,Nagano Mei,0.8843986392021179
Italy Monoca,Kim Hae Ri,0.8822511434555054
Kim Hae Ri,Lee Ju Eun,0.8688837289810181
Kim Jung Won,Sana,0.8238030076026917
Aragaki Yuko,Nagasawa Masami,0.8169297575950623
Aragaki Yuko,Rena Nounen,0.8141509294509888
Trương Hinh Dư,Vương Sở Nhiên,0.8124350905418396
Italy Monoca,Sana,0.8064237833023071
Tưởng Hân,Địch Lệ Nhiệt Ba,0.7890979051589966
Nicole Kidman,Tanakashi Rin,0.7716352343559265
Nagano Mei,Nagasawa Masami,0.7714589834213257
Lý Gia Hân,Park Jihyun,0.769106388092041
Cổ Lực Na Trát,Vương Sở Nhiên,0.7646650671958923
Kim Hae Ri,Lee Ye bin,0.763577938079834
Kim Jung Won,Lee Ju Eun,0.7628783583641052
Trương Mẫn,Trần Đức Dung,0.7628487944602966
Imoto Ayaka,Tanakashi Rin,0.7587908506393433
Italy Monoca,Lee Ju Eun,0.7576805949211121
Italy Monoca,Lee Ye bin,0.7522938847541809
Trương Vũ Kỳ,Tôn Nhất Ninh,0.750236988067627
Blake Lively,Choi Ye-won,0.7466176748275757
Aragaki Yuko,Tanakashi Rin,0.7459501028060913
Can Đình ĐÌnh,Tưởng Hân,0.7454748153686523
Cổ Lực Na Trát,Vương Tử Thuần,0.745355486869812
Monica Belluci,Vương Sở Nhiên,0.7442551255226135
Vương Tử Thuần,Vạn Thiến,0.7441829442977905
Imoto Ayaka,Nagasawa Masami,0.7422354817390442
Trần Hồng,Tưởng Cần Cần,0.7402920722961426
Blake Lively,Rebecca Ferguson,0.7397783398628235
Cổ Lực Na Trát,Vạn Thiến,0.7351580262184143
Nagano Mei,Nakamori Akina,0.7344425916671753
Monica Belluci,Quan Hiểu Đồng,0.7334367632865906
Lưu Tâm Du,Trương Mẫn,0.7324333786964417
Choi Ye-won,Grace Kelly,0.7304598689079285
Vương Sở Nhiên,Vạn Thiến,0.7300485968589783
Aragaki Yuko,Toda Erika,0.7277507781982422
Rena Nounen,Toda Erika,0.725448489189148
Lý Uyển Đát,Tưởng Hân,0.724631667137146
Lee Ju Eun,Lee Ye bin,0.7226837873458862
Nagasawa Masami,Tanakashi Rin,0.7221789956092834
Kim Hae Ri,Sana,0.7204527854919434
Grace Kelly,Sana,0.7193687558174133
Fukada Kyoko,Nakamori Akina,0.71910560131073
Cổ Lực Na Trát,Trương Hinh Dư,0.7186017036437988
Bae Suzy,Hashimoto Kana,0.7182245254516602
Lee Ju Eun,Sana,0.7157559990882874
Heidy Larmar,Hoshi Moeka,0.71449214220047
Cổ Lực Na Trát,Trần Hồng,0.707763135433197
Nagano Mei,Trịnh Sảng,0.7073835134506226
Komatsu Nana,Yoshitaka Yuriko,0.707272469997406
Nagano Mei,Tanaka Yuko,0.706830620765686
Aragaki Yuko,Deguchi Natsuki,0.7060152888298035
Ishihara Satomi,Sasaki Nozomi,0.7055288553237915
Rena Nounen,Tanakashi Rin,0.7029493451118469
Chương Nhược Nam,Mạnh Tử Nghĩa,0.7028443217277527
Can Đình ĐÌnh,Kim Tae Hee,0.7019161581993103
Vương Sở Nhiên,Vương Tử Thuần,0.7011811137199402
Trương Mẫn,Trương Vũ Kỳ,0.6994244456291199
Châu Huệ Mẫn,Toda Erika,0.6958439350128174
Imoto Ayaka,Tanaka Yuko,0.694905698299408
Aragaki Yuko,Trịnh Sảng,0.6940380334854126
Lily Collins,Trương Vũ Kỳ,0.6938324570655823
Trương Vũ Kỳ,Trần Đức Dung,0.6936813592910767
Nagasawa Masami,Rena Nounen,0.6933041214942932
Nagano Mei,Rena Nounen,0.6919353008270264
Chương Nhược Nam,Trương Dư Hi,0.6916079521179199
Trần Hồng,Vương Tử Thuần,0.6915836930274963
Hoài Thu,Quan Hiểu Đồng,0.6912026405334473
Can Đình ĐÌnh,Lý Uyển Đát,0.6897112727165222
Cúc Tịch Y,Quan Hiểu Đồng,0.6893064379692078
Chu Lâm,Vương Tổ Hiền,0.6882606744766235
Hashimoto Kana,Kim Tae Hee,0.6869613528251648
Fukada Kyoko,Miyazawa Rie,0.6866754293441772
Can Đình ĐÌnh,Lily Collins,0.6850029826164246
Trương Hinh Dư,Vương Tử Thuần,0.6837055683135986
Lynne Frederick,Nakama Yukie,0.6828004717826843
Trương Dư Hi,Trương Thiên Ái,0.6816847920417786
Ayaka Konno,Tanaka Yuko,0.6814553737640381
Nagano Mei,Tanakashi Rin,0.6808778643608093
Megan Fox,Rebecca Ferguson,0.6792675852775574
Deguchi Natsuki,Nagano Mei,0.6752129197120667
Cổ Lực Na Trát,Monica Belluci,0.6749232411384583
Mạnh Tử Nghĩa,Trương Dư Hi,0.6744641065597534
Phạm Băng Băng,Trương Hinh Dư,0.6737037897109985
Kim Hae Ri,Kim Jung Won,0.6710125803947449
Hashimoto Kana,Lý Uyển Đát,0.670627772808075
Chương Nhược Nam,Vạn Thiến,0.6702052354812622
Dương Mịch,Ozawa Mayu,0.6700770258903503
Bao Thượng Ân,Quan Hiểu Đồng,0.6698269844055176
Millie Brady,Nicole Kidman,0.6697410941123962
Nakamori Akina,Tanaka Yuko,0.66933673620224
Sana,Tsuyu,0.6688145995140076
Song Hye-kyo,Thu Hà,0.667896032333374
Italy Monoca,Kim Jung Won,0.6671962738037109
Tanakashi Rin,Toda Erika,0.666631281375885
Ayaka Konno,Nagano Mei,0.6665068864822388
Tanaka Yuko,Tanakashi Rin,0.6651267409324646
Aragaki Yuko,Nakamori Akina,0.6646796464920044
Miyazawa Rie,Vương Tổ Hiền,0.6642662286758423
Millie Brady,Tanaka Yuko,0.6630234718322754
Hoshi Moeka,Nakama Yukie,0.6612209677696228
Ishihara Satomi,Trịnh Sảng,0.6611446142196655
Angel Baby,Can Đình ĐÌnh,0.6610140800476074
Can Đình ĐÌnh,Địch Lệ Nhiệt Ba,0.6595078706741333
Monica Belluci,Trương Hinh Dư,0.6584107279777527
Lee Ju Eun,Seino Nana,0.6584040522575378
Angel Baby,Kim Ji Won,0.6581725478172302
Ayaka Konno,Kudo Shizuka,0.656577467918396
Mạnh Tử Nghĩa,Vạn Thiến,0.6563729643821716
Trương Dư Hi,Ân Đào,0.6559486389160156
Lưu Thi Thi,Tưởng Hân,0.6541169881820679
Matsuzaka Keiko,Miyazawa Rie,0.6540740728378296
Châu Huệ Mẫn,Han Hyo-joo,0.6533262729644775
Cổ Lực Na Trát,Lưu Thi Thi,0.6529368758201599
Deguchi Natsuki,Nakamori Akina,0.6514389514923096
Jennifer Connely,Nicole Kidman,0.6512525677680969
Aragaki Yuko,Ishihara Satomi,0.6507037281990051
Aragaki Yuko,Tanaka Yuko,0.6503648161888123
Deguchi Natsuki,Komatsu Nana,0.6500627994537354
Kim Jung Won,Tống Dật,0.6499246954917908
Aragaki Yuko,Ayaka Konno,0.6486868858337402
