person,person_id,similarity_to_type,cluster,num_videos
Bạch Băng,bch_bng,0.55717,0,7
Roh Jeong Un,roh_jeong_un,0.5346339,1,7
Fujiyoshi Karin,fujiyoshi_karin,0.52211225,0,7
Angel Baby,angel_baby,0.5136757,0,7
Park Jihyun,park_jihyun,0.48906636,0,8
Đồng Lệ Á,ng_l_,0.48770818,0,8
Can Đình ĐÌnh,can_nh_nh,0.48050955,0,9
Bae Suzy,bae_suzy,0.47672555,0,6
Triệu Lệ Dĩnh,triu_l_dnh,0.46827248,0,7
Anya Taylor Joy,anya_taylor_joy,0.43030986,1,7
Hashimoto Kana,hashimoto_kana,0.4160704,0,8
Ikeda Eliza,ikeda_eliza,0.37902212,0,7
Địch Lệ Nhiệt Ba,ch_l_nhit_ba,0.369767,0,9
Châu Huệ Mẫn,chu_hu_mn,0.3618152,0,9
Lưu Tâm Du,lu_tm_du,0.3497861,0,9
Tôn Nhất Ninh,tn_nht_ninh,0.3406755,0,9
Deva Cassel,deva_cassel,0.33232337,0,8
Trương Vũ Kỳ,trng_v_k,0.3254343,0,5
Lý Gia Hân,l_gia_hn,0.31292593,0,9
Chae Soo Bin,chae_soo_bin,0.31143582,1,8
Yui Asakura,yui_asakura,0.2985469,0,7
Ân Đào,n_o,0.293945,0,6
Quan Chi Lâm,quan_chi_lm,0.29203784,0,9
Triệu Kim Mạch,triu_kim_mch,0.28889602,1,8
Đại Lộ Oa,i_l_oa,0.28655687,0,9
Anne Hathaway,anne_hathaway,0.28099686,0,8
Mai Davika,mai_davika,0.2794283,0,8
Lily Collins,lily_collins,0.27487233,0,7
Kim Ji Won,kim_ji_won,0.27311054,0,9
Kim Claudia,kim_claudia,0.27264434,0,6
Lý Uyển Đát,l_uyn_t,0.253616,0,7
Vạn Thiến,vn_thin,0.24318065,0,8
Alesandrova Marina,alesandrova_marina,0.24270701,1,8
Kim Tae Hee,kim_tae_hee,0.2411241,0,8
Han Hyo-joo,han_hyojoo,0.23945476,0,9
Tưởng Hân,tng_hn,0.23565175,0,7
Quan Tuyết Doanh,quan_tuyt_doanh,0.23206058,0,7
Komatsu Nana,komatsu_nana,0.22445935,0,10
Trương Dư Hi,trng_d_hi,0.21249498,0,9
Toda Erika,toda_erika,0.21113199,1,9
Kang Hye Won,kang_hye_won,0.21044442,1,7
Chương Nhược Nam,chng_nhc_nam,0.20322326,0,9
Yoshitaka Yuriko,yoshitaka_yuriko,0.20263906,0,6
Im Jinnah,im_jinnah,0.19029027,0,8
Kim Yoo-jung,kim_yoojung,0.18774323,1,9
Lưu Hạo Tồn,lu_ho_tn,0.18658358,0,9
Hirose Suzu,hirose_suzu,0.1797903,0,6
Mạnh Tử Nghĩa,mnh_t_ngha,0.17948084,0,5
Trần Đức Dung,trn_c_dung,0.16833118,0,7
Vương Sở Nhiên,vng_s_nhin,0.16801967,0,8
Daran Tasha,daran_tasha,0.16541333,0,9
Choi Ji Woo,choi_ji_woo,0.15958206,1,7
Từ Hy Viên,t_hy_vin,0.15187123,0,9
Lâm Duẫn,lm_dun,0.14818822,1,8
Shin Se-kyung,shin_sekyung,0.14393264,0,7
Mao Hiểu Đồng,mao_hiu_ng,0.14373441,0,8
Karina,karina,0.13388748,1,8
Điền Hi Vi,in_hi_vi,0.13348873,1,8
Lâm Chí Linh,lm_ch_linh,0.09859772,0,8
Kudo Mio,kudo_mio,0.09782637,1,7
Vương Ảnh Lộ,vng_nh_l,0.0953402,1,9
Trương Mẫn,trng_mn,0.09246546,0,9
Sasaki Nozomi,sasaki_nozomi,0.07564212,1,9
Trần Hồng,trn_hng,0.07119899,0,9
Cổ Lực Na Trát,c_lc_na_trt,0.06840521,0,8
Megan Fox,megan_fox,0.05521293,1,9
Phạm Băng Băng,phm_bng_bng,0.04811578,0,9
Trương Thiên Ái,trng_thin_i,0.045441996,0,6
Hamabe Minami,hamabe_minami,0.042542636,1,11
Tống Dật,tng_dt,0.04074533,1,8
Elina Karinova,elina_karinova,0.032031387,1,8
Trương Hinh Dư,trng_hinh_d,0.028150102,0,6
Millie Brady,millie_brady,0.027960788,1,7
Hoài Thu,hoi_thu,0.022881335,1,9
Vương Tử Thuần,vng_t_thun,0.02256789,0,9
Elle Fanning,elle_fanning,0.021611296,1,8
Asuka Saito,asuka_saito,0.017428834,1,8
Tưởng Cần Cần,tng_cn_cn,0.015397379,0,8
Goo Yoon Young,goo_yoon_young,0.015108758,1,9
Winona Ryder,winona_ryder,0.013513002,1,8
Lưu Thi Thi,lu_thi_thi,0.012256538,0,8
Quan Hiểu Đồng,quan_hiu_ng,0.0077795004,0,9
Dương Mịch,dng_mch,0.0072143185,0,9
Hong Hwa-yeon,hong_hwayeon,0.00025439964,0,7
Trương Tịnh Nghi,trng_tnh_nghi,-0.008113812,0,7
Diana Kruger,diana_kruger,-0.017424215,0,7
Deguchi Natsuki,deguchi_natsuki,-0.023737062,1,8
Jang Gyu-ri,jang_gyuri,-0.033505198,0,7
Song Hye-kyo,song_hyekyo,-0.03909428,1,8
Keira Knightkey,keira_knightkey,-0.04223979,1,6
Đỗ Băng Nhạn,_bng_nhn,-0.045294914,1,6
Ashahina Aya,ashahina_aya,-0.05323079,0,7
Ishihara Satomi,ishihara_satomi,-0.05644651,1,9
Shiraishi Sei,shiraishi_sei,-0.06164159,1,9
Thẩm My Trang,thm_my_trang,-0.066206455,1,6
Thư Nguyễn,th_nguyn,-0.07259017,0,7
Jung Eun-chae,jung_eunchae,-0.07413962,0,8
Nakama Yukie,nakama_yukie,-0.07830588,1,7
Cúc Tịch Y,cc_tch_y,-0.091969326,0,9
Aoshima Kokoro,aoshima_kokoro,-0.096125886,1,6
Diệp Toàn Chân,dip_ton_chn,-0.09772936,0,6
Rena Nounen,rena_nounen,-0.09844999,1,8
Kim Hee Sun,kim_hee_sun,-0.10547902,1,6
Nicole Kidman,nicole_kidman,-0.108929865,1,8
Miriam Leone,miriam_leone,-0.10903393,1,8
Lee Ye bin,lee_ye_bin,-0.13461393,1,9
Monica Belluci,monica_belluci,-0.1379737,0,7
Ozawa Mayu,ozawa_mayu,-0.13954505,1,7
Tanakashi Rin,tanakashi_rin,-0.13969845,1,7
Bao Thượng Ân,bao_thng_n,-0.14152603,0,9
Ayaka Konno,ayaka_konno,-0.1502193,1,8
Nguyễn Ngoc Huyền,nguyn_ngoc_huyn,-0.15093306,0,8
Chu Lâm,chu_lm,-0.15879324,0,8
Katsumura Mika,katsumura_mika,-0.1717363,1,4
Jang Won-young,jang_wonyoung,-0.17308357,1,9
